EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC
6,6,7,6,7,7,7,5.212121212121212,7,4.026415094339622,6,5.169172932330827,4.556818181818182,4,4,4,7,6.657894736842105,7,6.2377358490566035,7,5.780769230769231,5.726923076923077,7,5.8830188679245285,6,3,5.950943396226415,5.393258426966292,6,6,4,4,4,7,5.306818181818182,7,7,1,5.20532319391635,5.1722846441947565,7,7,7,7,5,5,5,5,-0.1867969319279863,0.8536874972951305,-2.0019633891920683
5,5,5,5,5,5,4,4,4,6,4,5,4,5,5,5,7,7,7,7,7,6,6,5,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
4,6,4,6,6,6,6,5,5,3,5,5,3,3,3,3,6,6,5,6,5,6,6,4,6,5,5,5,5,5,3,3,4,5,6,6,6,6,6,5,5,5,7,5,5,5,7,6,6,0.06031721206384802,-0.16378249946377013,-0.2804008570326363
6,6,7,7,7,7,4,6,6,7,6,4,6,6,6,6,7,7,7,7,7,5.780769230769231,7,7,7,5.3745318352059925,7,6,4,6,6,4.4393939393939394,4,7,7,5.306818181818182,7,5.725563909774436,7,5.20532319391635,7,6.161654135338346,7,7,7,7,7,7,7,0.7494781075333765,1.493852122895102,0.8619847303091158
7,7,7,7,7,7,5,5,5,5,4,5,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,4,3,3,6,5,3,3,2,6,5,3,2,6,6,6,-1.907736496864851,-1.6854624731266807,-0.5699893294414762
5,6,6,6,6,6,6,6,6,4,5,6,2,2,2,2,6,6,6,7,5,6,5,5,6,4,5,5,5,5,7,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.4816650117163124,-0.16378249946377013,-0.5699893294414762
6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
6,6,6,6,6,6,7,5,5,3,5,6,5,5,5,5,6,6,6,6,5,6,4,5,6,4,5,5,4,5,4,3,3,5,3,4,5,5,6,5,2,6,7,4,4,4,6,6,6,-1.0865303430708622,-0.9925998106432063,-0.5699893294414762
7,6,4,4,6,6,6,6,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,6,7,5,6,5,5,5,6,6,6,7,6,3,3,1,6,7,5,5,5,7,7,7,-1.0799685278027575,-0.16378249946377013,0.8619847303091158
6,6,6,6,6,6,6,5,5,3,3,5,5,5,5,5,6,6,6,6,6,3,4,4,4,4,5,5,4,5,4,3,4,5,5,5,7,7,7,5,4,6,7,5,5,4,5,7,5,0.12125285805401244,-0.483864812263756,-0.745797771262253
